Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Catalyst Acquisition Corp.,CATLU,Santander,20.0,10.00,10.00,$ 200.0 mil,7/28/2026 Priced,S/O,S/O
Ionic Digital (NASDAQ Direct Listing),IOND,J.P. Morgan/Jefferies/BTIG,10.8,53.00,53.00,$ 572.4 mil,7/28/2026 Tuesday,S/O,S/O
East West Avenue Acquisition Corp.,EWAVU,D. Boral Capital,10.0,10.00,10.00,$ 100.0 mil,7/30/2026 Thursday,S/O,S/O
Jersey Mike’s Subs Inc.,JMKE,Morgan Stanley/Jefferies/J.P.Morgan/Barclays/Guggenheim Securities/BofA Securities/Goldman Sachs/Evercore ISI/UBS Investment Bank/Baird/Wells Fargo Securities/William Blair/RBC Capital Markets/Deutsche Bank/Wolfe Nomura Alliance/Piper Sandler/Raymond James/Stifel/TD Securities/BTIG/Mizuho Securities/Societe Generale/Truist Securities,43.5,21.00,25.00,$ 1000.0 mil,7/30/2026 Thursday,S/O,S/O
Reformation Inc.,REF,J.P.Morgan/Morgan Stanley/Citigroup/RBC Capital Markets/Guggenheim Securities/Baird/William Blair/BTIG/Telsey Advisory Group,14.1,15.00,17.00,$ 225.0 mil,7/30/2026 Thursday,S/O,S/O
Apnimed,APMD,BofA Securities/Evercore ISI/Cantor/LifeSci Capital,10.0,14.00,16.00,$ 150.0 mil,7/31/2026 Friday,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,6.00,7.00,$ 17.1 mil,7/31/2026 Week of,S/O,S/O
IMC Rare Earths Ltd.,IMC,Roberts & Ryan/Revere Securities,4.0,4.00,6.00,$ 20.0 mil,7/31/2026 Week of,S/O,S/O
MetaOptics (Uplisting),MOT,Roth Capital Partners/The Benchmark Company,3.0,5.00,7.00,$ 18.0 mil,7/31/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,5.0,4.00,6.00,$ 25.0 mil,7/31/2026 Week of,S/O,S/O
Web3Labs Global Inc.,MDAT,Eddid Securities USA,6.3,4.00,5.00,$ 28.1 mil,7/31/2026 Week of,S/O,S/O
